x,y,label
400,172,1
255,521,0
399,178,1
395,177,1
406,183,1
395,178,1
402,186,1
402,185,1
410,198,1
410,197,1
399,180,1
261,517,0
414,198,1
406,190,1
257,504,0
406,189,1
253,521,0
404,186,1
413,188,1
411,197,1
411,198,1
257,507,0
389,165,1
254,525,0
260,527,0
252,503,0
258,512,0
262,511,0
254,508,0
411,189,1
256,521,0
260,524,0
407,189,1
261,529,0
409,189,1
407,190,1
414,190,1
254,505,0
405,189,1
258,503,0
254,523,0
405,186,1
264,526,0
260,513,0
254,506,0
258,504,0
254,516,0
394,170,1
252,517,0
394,169,1
409,184,1
262,518,0
406,195,1
252,522,0
396,176,1
412,192,1
258,524,0
254,514,0
250,511,0
259,527,0
265,528,0
260,503,0
401,174,1
409,182,1
253,500,0
405,182,1
403,185,1
382,159,1
403,186,1
412,197,1
252,500,0
253,503,0
260,530,0
408,190,1
256,508,0
401,183,1
409,194,1
392,170,1
401,180,1
407,194,1
266,527,0
398,180,1
261,507,0
251,517,0
255,510,0
403,179,1
261,520,0
403,180,1
395,172,1
261,510,0
393,172,1
251,501,0
398,178,1
261,497,0
257,502,0
395,181,1
402,182,1
385,163,1
410,194,1
261,500,0
399,183,1
391,168,1
253,514,0
401,184,1
264,528,0
261,503,0
255,514,0
247,497,0
261,516,0
251,506,0
402,188,1
256,515,0
407,183,1
251,505,0
408,200,1
266,529,0
253,520,0
247,500,0
263,519,0
257,506,0
256,512,0
252,499,0
406,191,1
414,199,1
413,190,1
411,196,1
407,185,1
400,177,1
407,186,1
408,197,1
405,185,1
389,164,1
256,522,0
396,170,1
258,514,0
264,527,0
407,188,1
254,507,0
409,188,1
254,517,0
405,188,1
412,184,1
264,524,0
260,519,0
412,187,1
252,511,0
254,500,0
410,184,1
396,175,1
254,518,0
411,200,1
262,519,0
386,161,1
252,508,0
394,171,1
401,173,1
409,181,1
256,502,0
409,186,1
405,181,1
258,525,0
259,526,0
252,523,0
252,520,0
403,189,1
396,182,1
258,526,0
254,498,0
410,189,1
409,193,1
398,184,1
397,176,1
253,502,0
395,175,1
260,516,0
403,184,1
266,524,0
259,519,0
261,506,0
253,505,0
251,516,0
408,191,1
392,168,1
401,182,1
392,171,1
253,508,0
395,169,1
261,496,0
399,179,1
391,171,1
248,501,0
395,179,1
406,181,1
413,197,1
251,510,0
402,183,1
261,502,0
251,520,0
410,195,1
247,496,0
400,171,1
259,506,0
406,188,1
388,166,1
413,200,1
251,504,0
413,186,1
261,518,0
402,189,1
263,518,0
255,519,0
407,181,1
400,181,1
408,198,1
414,194,1
414,193,1
406,185,1
254,524,0
263,520,0
256,523,0
252,502,0
408,192,1
408,195,1
405,187,1
389,166,1
405,184,1
256,520,0
261,530,0
254,522,0
381,159,1
411,185,1
264,525,0
252,504,0
260,511,0
400,185,1
252,519,0
406,194,1
409,190,1
262,516,0
406,193,1
258,507,0
405,190,1
260,508,0
256,503,0
412,185,1
396,173,1
401,175,1
254,499,0
397,175,1
405,183,1
260,502,0
412,196,1
412,199,1
410,191,1
253,501,0
409,192,1
262,520,0
253,504,0
261,505,0
395,173,1
395,174,1
403,182,1
402,174,1
380,156,1
410,182,1
407,197,1
408,189,1
251,503,0
261,511,0
395,168,1
393,171,1
261,498,0
257,503,0
